State Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Maharashtra,4173436.53,27223.3,19.514,23.91,153.3
Gujarat,5227109.1,25610.07,24.441,22.493,204.1
Uttar Pradesh,1841761.58,15705.61,8.612,13.794,117.27
Tamil Nadu,1427669.6,8393.87,6.675,7.372,170.08
HARYANA,877448.04,7447.15,4.103,6.541,117.82
Andhra Pradesh,2811487.83,7021.74,13.146,6.167,400.4
West Bengal,2417103.25,5500.04,11.302,4.831,439.47
Kerala,274850.89,4191.67,1.285,3.681,65.57
PUNJAB,609972.92,3100.71,2.852,2.723,196.72
KARNATAKA,185253.54,2379.45,0.866,2.09,77.86
Delhi,102597.26,1769.89,0.48,1.554,57.97
Bihar,801329.23,1689.78,3.747,1.484,474.22
Rajasthan,153421.86,1288.74,0.717,1.132,119.05
Telangana,116951.87,1139.35,0.547,1.001,102.65
Madhya Pradesh,84445.75,622.6,0.395,0.547,135.63
Chhattisgarh,132701.0,310.19,0.62,0.272,427.81
Odisha,105033.29,236.96,0.491,0.208,443.25
Goa,18434.49,142.14,0.086,0.125,129.69
Sikkim,7404.12,36.5,0.035,0.032,202.85
Uttarakhand,11222.59,28.64,0.052,0.025,391.85
Assam,5162.76,16.94,0.024,0.015,304.77
Meghalaya,1886.23,2.39,0.009,0.002,789.22
Himachal Pradesh,52.94,0.26,0.0,0.0,203.62
Total,21386736.67,113857.99,100.0,100.0,187.84
